kis-gateway-1  | 2026-01-08 03:37:40,573 - main - INFO - 📊 [Gateway] Snapshot 요청: 001430
kis-gateway-1  | 2026-01-08 03:37:41,005 - main - INFO - 📊 [Gateway] Snapshot 요청: 001440
kis-gateway-1  | 2026-01-08 03:37:41,460 - main - INFO - 📊 [Gateway] Snapshot 요청: 001450
kis-gateway-1  | 2026-01-08 03:37:41,916 - main - INFO - 📊 [Gateway] Snapshot 요청: 002380
kis-gateway-1  | 2026-01-08 03:37:42,360 - main - INFO - 📊 [Gateway] Snapshot 요청: 003230
kis-gateway-1  | 2026-01-08 03:37:42,800 - main - INFO - 📊 [Gateway] Snapshot 요청: 003670
kis-gateway-1  | 2026-01-08 03:37:43,246 - main - INFO - 📊 [Gateway] Snapshot 요청: 003690
kis-gateway-1  | 2026-01-08 03:37:43,660 - main - INFO - 📊 [Gateway] Snapshot 요청: 004170
kis-gateway-1  | 2026-01-08 03:37:44,088 - main - INFO - 📊 [Gateway] Snapshot 요청: 004800
kis-gateway-1  | 2026-01-08 03:37:44,523 - main - INFO - 📊 [Gateway] Snapshot 요청: 005380
kis-gateway-1  | 2026-01-08 03:37:44,954 - main - INFO - 📊 [Gateway] Snapshot 요청: 005385
kis-gateway-1  | 2026-01-08 03:37:45,410 - main - INFO - 📊 [Gateway] Snapshot 요청: 005387
kis-gateway-1  | 2026-01-08 03:37:45,874 - main - INFO - 📊 [Gateway] Snapshot 요청: 005830
kis-gateway-1  | 2026-01-08 03:37:46,299 - main - INFO - 📊 [Gateway] Snapshot 요청: 005850
kis-gateway-1  | 2026-01-08 03:37:46,759 - main - INFO - 📊 [Gateway] Snapshot 요청: 005930
kis-gateway-1  | 2026-01-08 03:37:47,225 - main - INFO - 📊 [Gateway] Snapshot 요청: 005935
kis-gateway-1  | 2026-01-08 03:37:47,653 - main - INFO - 📊 [Gateway] Snapshot 요청: 006400
kis-gateway-1  | 2026-01-08 03:37:48,082 - main - INFO - 📊 [Gateway] Snapshot 요청: 006800
kis-gateway-1  | 2026-01-08 03:37:48,519 - main - INFO - 📊 [Gateway] Snapshot 요청: 007660
kis-gateway-1  | 2026-01-08 03:37:48,958 - main - INFO - 📊 [Gateway] Snapshot 요청: 009150
kis-gateway-1  | 2026-01-08 03:37:49,398 - main - INFO - 📊 [Gateway] Snapshot 요청: 009540
kis-gateway-1  | 2026-01-08 03:37:49,839 - main - INFO - 📊 [Gateway] Snapshot 요청: 009970
kis-gateway-1  | 2026-01-08 03:37:50,265 - main - INFO - 📊 [Gateway] Snapshot 요청: 010060
kis-gateway-1  | 2026-01-08 03:37:50,701 - main - INFO - 📊 [Gateway] Snapshot 요청: 010130
kis-gateway-1  | 2026-01-08 03:37:51,140 - main - INFO - 📊 [Gateway] Snapshot 요청: 010140
kis-gateway-1  | 2026-01-08 03:37:51,553 - main - INFO - 📊 [Gateway] Snapshot 요청: 011070
kis-gateway-1  | 2026-01-08 03:37:51,991 - main - INFO - 📊 [Gateway] Snapshot 요청: 011210
kis-gateway-1  | 2026-01-08 03:37:52,458 - main - INFO - 📊 [Gateway] Snapshot 요청: 011780
kis-gateway-1  | 2026-01-08 03:37:52,894 - main - INFO - 📊 [Gateway] Snapshot 요청: 012200
kis-gateway-1  | 2026-01-08 03:37:53,322 - main - INFO - 📊 [Gateway] Snapshot 요청: 012330
kis-gateway-1  | 2026-01-08 03:37:53,775 - main - INFO - 📊 [Gateway] Snapshot 요청: 012450
kis-gateway-1  | 2026-01-08 03:37:54,216 - main - INFO - 📊 [Gateway] Snapshot 요청: 0126Z0
kis-gateway-1  | 2026-01-08 03:37:54,663 - main - INFO - 📊 [Gateway] Snapshot 요청: 014680
kis-gateway-1  | 2026-01-08 03:37:55,095 - main - INFO - 📊 [Gateway] Snapshot 요청: 015760
kis-gateway-1  | 2026-01-08 03:37:55,529 - main - INFO - 📊 [Gateway] Snapshot 요청: 016360
kis-gateway-1  | 2026-01-08 03:37:55,975 - main - INFO - 📊 [Gateway] Snapshot 요청: 017670
kis-gateway-1  | 2026-01-08 03:37:56,406 - main - INFO - 📊 [Gateway] Snapshot 요청: 019180
kis-gateway-1  | 2026-01-08 03:37:56,840 - main - INFO - 📊 [Gateway] Snapshot 요청: 025560
kis-gateway-1  | 2026-01-08 03:37:57,282 - main - INFO - 📊 [Gateway] Snapshot 요청: 028260
kis-gateway-1  | 2026-01-08 03:37:57,707 - main - INFO - 📊 [Gateway] Snapshot 요청: 032830
kis-gateway-1  | 2026-01-08 03:37:58,159 - main - INFO - 📊 [Gateway] Snapshot 요청: 034020
kis-gateway-1  | 2026-01-08 03:37:58,604 - main - INFO - 📊 [Gateway] Snapshot 요청: 034220
kis-gateway-1  | 2026-01-08 03:37:59,028 - main - INFO - 📊 [Gateway] Snapshot 요청: 034730
